nombre,sub_category,latitud,longitud,distance,city,category,ponder,geometry
Woof Gang Bakery,Pet Store,30.27727485195775,-97.75138524797313,778,Austin,Dobby,0.2,POINT (-97.75138524797313 30.27727485195775)
Healthy Pet,Pet Store,30.26734,-97.752343,532,Austin,Dobby,0.2,POINT (-97.752343 30.26734)
Austin Urban Vet Center,Pet Store,30.26940387440138,-97.75029814179358,542,Austin,Dobby,0.2,POINT (-97.75029814179358 30.26940387440138)
Tomlinson's,Pet Store,30.27702365937512,-97.75102421798358,773,Austin,Dobby,0.2,POINT (-97.75102421798358 30.27702365937512)
Great Outdogs,Pet Store,30.26096478645842,-97.75750936295276,1161,Austin,Dobby,0.2,POINT (-97.75750936295276 30.26096478645842)
C Dog Lady,Pet Service,30.263205,-97.757191,910,Austin,Dobby,0.2,POINT (-97.75719100000001 30.263205)
Woof Gang Bakery,Pet Store,30.27727485195775,-97.75138524797313,778,Austin,Dobby,0.2,POINT (-97.75138524797313 30.27727485195775)
Dirty Dog - Downtown,Pet Store,30.269343154712544,-97.7501974266111,554,Austin,Dobby,0.2,POINT (-97.75019742661109 30.26934315471254)
Midtown Groom & Board,Pet Store,30.27780592191682,-97.75205005915224,801,Austin,Dobby,0.2,POINT (-97.75205005915224 30.27780592191682)
HirschTEC,Design Studio,53.556207,10.006941,277,Hamburg,Design Studio,0.06,POINT (10.006941 53.556207)
Design Forum,Design Studio,53.55549899688691,9.989682664486997,887,Hamburg,Design Studio,0.06,POINT (9.989682664486997 53.55549899688691)
The Shack,Recording Studio,53.54858507232179,9.99938838064678,951,Hamburg,Design Studio,0.06,POINT (9.99938838064678 53.54858507232179)
(smow),Furniture / Home Store,53.54866,10.002866,914,Hamburg,Design Studio,0.06,POINT (10.002866 53.54866)
Makery.,Design Studio,53.553883,10.016137,936,Hamburg,Design Studio,0.06,POINT (10.016137 53.553883)
Design Forum,Design Studio,53.55145385509746,9.996272188767664,745,Hamburg,Design Studio,0.06,POINT (9.996272188767664 53.55145385509746)
Monki Store,Design Studio,53.554658,9.99526,562,Hamburg,Design Studio,0.06,POINT (9.99526 53.554658)
1 2 3,Design Studio,53.553381971619714,9.990595011885828,901,Hamburg,Design Studio,0.06,POINT (9.990595011885828 53.55338197161971)
Cedon,Design Studio,53.553035036166634,9.989599488847476,977,Hamburg,Design Studio,0.06,POINT (9.989599488847476 53.55303503616663)
Stilwerke,Design Studio,53.56372,9.999922,787,Hamburg,Design Studio,0.06,POINT (9.999922 53.56372)
Atelier Figurart,Design Studio,53.55663,10.013691,714,Hamburg,Design Studio,0.06,POINT (10.013691 53.55663)
Dibbern,Design Studio,53.553678353738675,9.987155397457894,1100,Hamburg,Design Studio,0.06,POINT (9.987155397457894 53.55367835373868)
Siteway,Office,53.55429174516101,9.988262057304382,1009,Hamburg,Design Studio,0.06,POINT (9.988262057304382 53.55429174516101)
Mossapour,Furniture / Home Store,53.55419411427837,9.998586950661362,412,Hamburg,Design Studio,0.06,POINT (9.998586950661362 53.55419411427837)
Atelier Nicolaisen Klomp,Design Studio,53.556706,10.013092,674,Hamburg,Design Studio,0.06,POINT (10.013092 53.556706)
Dental Design Reichert GmbH,Design Studio,53.55849,10.008502,411,Hamburg,Design Studio,0.06,POINT (10.008502 53.55849)
J&B Intermedia,Design Studio,53.553625612278566,9.992093344122793,800,Hamburg,Design Studio,0.06,POINT (9.992093344122793 53.55362561227857)
Sabine Funk Design,Design Studio,53.557556066231086,9.992761618228371,674,Hamburg,Design Studio,0.06,POINT (9.992761618228371 53.55755606623109)
Atelier Christian von der Heide,Design Studio,53.556849,10.009347,426,Hamburg,Design Studio,0.06,POINT (10.009347 53.556849)
R.I.C.O. Interior,Design Studio,53.54835,9.996807,1030,Hamburg,Design Studio,0.06,POINT (9.996807 53.54835)
a+l partner,Design Studio,53.555133,10.006347,299,Hamburg,Design Studio,0.06,POINT (10.006347 53.555133)
RED LION,Office,53.55407663625435,9.989136457443237,961,Hamburg,Design Studio,0.06,POINT (9.989136457443237 53.55407663625435)
MMPG,IT Services,53.55084900066045,9.988623107461756,1158,Hamburg,Design Studio,0.06,POINT (9.988623107461756 53.55084900066045)
elbblut GmbH Büro für Druck & Gestaltung,Design Studio,53.549493,10.0032,821,Hamburg,Design Studio,0.06,POINT (10.0032 53.549493)
Institute of Design,Design Studio,53.55766242829918,9.989445575803032,894,Hamburg,Design Studio,0.06,POINT (9.989445575803032 53.55766242829918)
Sympatient,Tech Startup,53.557572,10.00984,465,Hamburg,Tech Startup,0.04,POINT (10.00984 53.557572)
Monopol für Stromerzeugnisse e.V. -Zweigstelle Hamburg Mitte,Tech Startup,53.551632,10.000322,607,Hamburg,Tech Startup,0.04,POINT (10.000322 53.551632)
Carmio Internet GmbH HQ,Tech Startup,53.549766,9.995893,916,Hamburg,Tech Startup,0.04,POINT (9.995893000000001 53.549766)
oysterbay GmbH,Tech Startup,53.556275,9.991302,769,Hamburg,Tech Startup,0.04,POINT (9.991301999999999 53.556275)
SnipSell GmbH,Tech Startup,53.55560695585027,9.990581406476853,826,Hamburg,Tech Startup,0.04,POINT (9.990581406476853 53.55560695585027)
Bergwerk.io,Tech Startup,53.554349,9.999383,364,Hamburg,Tech Startup,0.04,POINT (9.999383 53.554349)
Just Software Headquarters,Tech Startup,53.55334460735321,9.987387657165527,1098,Hamburg,Tech Startup,0.04,POINT (9.987387657165527 53.55334460735321)
kleidoo,Tech Startup,53.552491779497885,10.001925794342583,491,Hamburg,Tech Startup,0.04,POINT (10.00192579434258 53.55249177949788)
kwizzme.com,Tech Startup,53.55239774457607,10.000524799545992,522,Hamburg,Tech Startup,0.04,POINT (10.00052479954599 53.55239774457607)
Computerrock Branch,Tech Startup,53.549204,9.999155,888,Hamburg,Tech Startup,0.04,POINT (9.999155 53.549204)
Zag,Tech Startup,53.55358928433574,10.003484219396052,367,Hamburg,Tech Startup,0.04,POINT (10.00348421939605 53.55358928433574)
42 & Sohn,Tech Startup,53.553810597702146,10.002757053256381,341,Hamburg,Tech Startup,0.04,POINT (10.00275705325638 53.55381059770215)
Office 21,Tech Startup,53.54952426666667,9.999540725,847,Hamburg,Tech Startup,0.04,POINT (9.999540724999999 53.54952426666667)
Lotsen Für Digitales@Hamburg,Tech Startup,53.561358048642184,9.988998563129114,1046,Hamburg,Tech Startup,0.04,POINT (9.988998563129114 53.56135804864218)
Someday CoVentures,Tech Startup,53.552758,10.012381,776,Hamburg,Tech Startup,0.04,POINT (10.012381 53.552758)
Style Net Media GmbH,Tech Startup,53.551527,9.99688,716,Hamburg,Tech Startup,0.04,POINT (9.996880000000001 53.551527)
abgeordnetenwatch.de,Tech Startup,53.564629,9.995068,1006,Hamburg,Tech Startup,0.04,POINT (9.995068 53.564629)
Feelgood,Tech Startup,53.5552547074554,9.986425597843354,1104,Hamburg,Tech Startup,0.04,POINT (9.986425597843354 53.5552547074554)
